Model,pm1,pm2_5,pm4,pm10,pmTotal,dCn
Random Forest,0.89,0.9,0.89,0.86,0.8,0.86
Ensemble Bagging,0.9,0.89,0.89,0.86,0.79,0.85
LGBM,0.9,0.89,0.89,0.85,0.78,0.85
Neural Network,0.74,0.82,0.81,0.76,0.71,0.65
