Model,pm1,pm2_5,pm4,pm10,pmTotal,dCn
Random Forest,0.87,0.86,0.85,0.83,0.78,0.85
Ensemble Bagging,0.87,0.84,0.83,0.78,0.78,0.84
LGBM,0.85,0.86,0.85,0.83,0.79,0.84
Neural Network,0.73,0.8,0.77,0.76,0.72,0.6
