Model,pm1,pm2_5,pm4,pm10,pmTotal,dCn
Linear Regressor,0.47,0.5,0.56,0.13,0.17,0.35
Random Forest,0.99,0.99,0.99,0.89,0.85,0.99
Ensemble Bagging,0.99,0.99,0.99,0.89,0.84,0.99
LGBM,0.98,0.99,0.99,0.88,0.81,0.99
Neural Network,0.93,0.91,0.9,0.64,0.52,0.96
Decision Tree,0.99,0.98,0.98,0.81,0.77,0.99
Ridge Regressor,0.47,0.5,0.56,0.13,0.16,0.35
KNN,0.94,0.92,0.93,0.62,0.5,0.95
Super Learner,0.99,0.99,0.99,0.9,0.85,0.99
