Model,pm1,pm2_5,pm4,pm10,pmTotal,dCn
Linear Regressor,0.39,0.42,0.39,0.38,0.35,0.19
Random Forest,0.89,0.9,0.89,0.86,0.79,0.86
Ensemble Bagging,0.88,0.88,0.88,0.84,0.77,0.82
LGBM,0.86,0.87,0.86,0.84,0.77,0.82
Neural Network,0.84,0.84,0.85,0.8,0.74,0.75
Decision Tree,0.82,0.82,0.75,0.73,0.61,0.71
Ridge Regressor,0.39,0.42,0.39,0.38,0.35,0.19
KNN,0.65,0.7,0.7,0.68,0.62,0.58
Super Learner,0.89,0.9,0.89,0.86,0.8,0.86
