Model,pm1,pm2_5,pm4,pm10,pmTotal,dCn,R2_Average
Random_Forest_Regression,0.97,0.98,0.97,0.89,0.8,0.99,0.9333333333333335
Ensemble_Bagging_Regression,0.96,0.97,0.97,0.9,0.8,0.99,0.9316666666666666
LGBM_Regression,0.95,0.95,0.96,0.9,0.8,0.98,0.9233333333333332
XGBoost_Regression,0.97,0.98,0.96,0.87,0.71,0.99,0.9133333333333334
Decision_Tree_Regression,0.97,0.98,0.96,0.81,0.67,0.99,0.8966666666666668
Neural_Network_Regression,0.88,0.88,0.88,0.59,0.4,0.92,0.7583333333333333
KNN_Regression,0.86,0.86,0.87,0.59,0.46,0.9,0.7566666666666667
Linear_Regression,0.46,0.5,0.55,0.17,0.21,0.38,0.37833333333333335
Ridge_Regression,0.46,0.5,0.55,0.17,0.21,0.38,0.37833333333333335
