Model,pm1,pm2_5,pm4,pm10,pmTotal,dCn
Linear Regressor,0.15,0.14,0.13,0.13,0.13,0.09
Random Forest,0.87,0.86,0.85,0.83,0.79,0.85
Ensemble Bagging,0.86,0.83,0.82,0.81,0.76,0.83
LGBM,0.82,0.84,0.84,0.82,0.77,0.81
Neural Network,0.76,0.81,0.81,0.79,0.74,0.66
Decision Tree,0.78,0.63,0.7,0.67,0.6,0.69
Ridge Regressor,0.15,0.14,0.13,0.13,0.13,0.09
KNN,0.62,0.65,0.65,0.64,0.6,0.56
Super Learner,0.87,0.86,0.85,0.83,0.79,0.85
